Type of Diet,Gender,Age Group,Mean GHG emissions,Mean Agricultural Land Use,Mean Water Scarcity,Mean Eutrophication Potential,Mean GHG from CH4 emissions,Mean GHG from N2O,Mean Biodiversity Impact,Mean Agricultural Water Usage,Mean Acidification Potential
Low Meat-eaters,Male,20-29,5.842741221,8.78110448,17395.33248,24.82010731,1.087363455,0.407855635,277.0131677,749.0094254,26.93557726
Low Meat-eaters,Male,30-39,5.923054206,8.586602548,18760.17388,24.93859652,1.076925132,0.401911429,276.5506401,818.5919674,27.60116385
Low Meat-eaters,Male,40-49,5.898524815,8.67402043,17926.28747,24.22462746,1.08024662,0.393784829,274.409162,772.6229785,27.47999024
Low Meat-eaters,Male,50-59,5.932798637,8.887673871,17753.36615,24.39007567,1.115071944,0.403593662,280.0500051,772.4244996,27.83150149
Low Meat-eaters,Male,60-69,5.92172459,9.08340608,17674.90274,24.42084533,1.126481213,0.406294094,275.3900345,794.3768013,27.69149667
Low Meat-eaters,Male,70-79,6.126166528,9.37714445,18417.87923,25.0638299,1.192354242,0.41488153,291.4675388,816.3789792,28.64106154
High Meat-eaters,Female,20-29,10.19126874,20.37857332,22092.6412,40.55897416,2.111090372,0.757689991,387.3900836,971.149334,43.73742749
High Meat-eaters,Female,30-39,10.42154841,21.11220035,22088.09235,39.66536519,2.165169892,0.764294562,394.7072269,963.7193514,43.95259149
High Meat-eaters,Female,40-49,11.24212422,23.99733053,21672.36323,40.57825866,2.393374593,0.814624173,419.2771377,938.6140903,45.37750286
High Meat-eaters,Female,50-59,11.57440159,24.93402638,21957.7488,40.68060687,2.485821004,0.827111165,424.9973255,960.196912,46.34011022
High Meat-eaters,Female,60-69,11.52047339,24.78021888,22267.71239,40.29917375,2.482433462,0.825564782,418.7591541,967.9023117,46.20857629
High Meat-eaters,Female,70-79,11.99085339,26.03113104,22709.03191,41.20529266,2.635513954,0.858690917,432.0518216,980.5623297,47.78348447
High Meat-eaters,Male,20-29,12.10478221,24.33879299,24385.45583,49.9765201,2.584397436,0.917295175,452.8146113,1060.965921,52.15612012
High Meat-eaters,Male,30-39,11.17886235,22.64574447,23344.16911,44.00591223,2.3274359,0.836297882,417.2945653,1020.447922,46.53486611
High Meat-eaters,Male,40-49,11.49386409,24.18543902,21888.2169,43.07765507,2.441364133,0.840706542,426.4205367,932.6192651,46.70503078
High Meat-eaters,Male,50-59,11.6780401,24.76549374,22196.91597,42.54071115,2.493825429,0.84572647,424.3045883,948.0523526,47.28169098
High Meat-eaters,Male,60-69,11.45017566,24.23766995,22420.08835,41.516002,2.483418446,0.836508023,419.9689388,963.5665073,46.82010155
High Meat-eaters,Male,70-79,12.26398743,26.71411594,22944.25012,43.00108133,2.670517895,0.888626579,446.0236547,982.8789451,48.45935505
Medium Meat-eaters,Female,20-29,6.913346378,11.48390897,18869.85776,29.16989082,1.34065164,0.497019245,295.261416,853.0670372,31.84135589
Medium Meat-eaters,Female,30-39,7.135581667,11.99426149,18849.36794,29.22549341,1.403059285,0.507654793,305.726579,846.4207622,32.48753444
Medium Meat-eaters,Female,40-49,7.48415133,13.12407017,18754.89801,29.67412763,1.498014684,0.527166376,317.0367591,840.7022575,33.51153701
Medium Meat-eaters,Female,50-59,7.586115662,13.376783,18907.62002,29.50523749,1.532156193,0.530448101,317.6338983,853.522135,33.98466013
Medium Meat-eaters,Female,60-69,7.54123054,13.03055672,19476.05005,29.66459132,1.527971351,0.529024887,317.1013936,885.5940182,34.29580925
Medium Meat-eaters,Female,70-79,7.611196495,13.55147331,19784.73988,29.84623449,1.554789806,0.541964778,324.0677819,884.0808362,34.07038654
Medium Meat-eaters,Male,20-29,7.387087141,11.81375391,20069.38641,31.49161947,1.416736589,0.526701589,315.3292618,903.8172185,34.21701722
Medium Meat-eaters,Male,30-39,7.594977983,12.45748133,20166.20676,31.79115926,1.484898334,0.543786838,327.7357784,894.9844505,34.92818006
Medium Meat-eaters,Male,40-49,7.781512621,13.68422721,19024.795,31.20309026,1.541129377,0.553747728,330.6722035,825.7048464,34.77660357
Medium Meat-eaters,Male,50-59,7.75290013,13.73596567,18955.50394,30.63281191,1.546929675,0.545843392,321.3029928,851.2931918,34.52329984
Medium Meat-eaters,Male,60-69,7.835827297,13.9717734,19187.99274,30.65972311,1.579146512,0.550469822,326.0344979,857.2477226,34.76699642
Medium Meat-eaters,Male,70-79,8.02387393,14.81572881,19365.56426,30.94930772,1.649471965,0.567785546,329.4274206,870.016562,34.58744791
Vegans,Female,20-29,2.383216383,4.049672932,13526.41113,10.64784509,0.138213166,0.198465642,109.7638716,411.9156576,10.48906093
Vegans,Female,30-39,2.540393021,4.262572997,13977.92784,11.12125558,0.151392087,0.212639307,123.4418922,425.5035996,11.00746807
Vegans,Female,40-49,2.657602422,4.525625973,15304.05975,11.71430284,0.172361968,0.222044143,127.590251,451.6882751,11.87214351
Vegans,Female,50-59,2.520496825,4.427549282,15130.22356,10.83069242,0.142114033,0.218735418,125.1423931,424.6928309,11.46755676
Vegans,Female,60-69,2.633644804,4.742450322,15675.19873,11.3334837,0.145497197,0.223279134,128.7621327,439.4109382,11.90767509
Vegans,Female,70-79,2.839875594,4.757807695,16572.4853,12.40590674,0.195633865,0.229870086,135.0108449,505.9307335,12.36918123
Vegans,Male,20-29,2.843228309,4.845974177,15880.59203,12.83641806,0.16116792,0.230182436,124.6751643,492.2222787,12.42828692
Vegans,Male,30-39,2.698172418,4.490258767,15193.40326,11.62028581,0.145903106,0.217411423,126.1096655,452.7532877,11.77070783
Vegans,Male,40-49,2.69436602,4.553663881,14841.2077,11.63023643,0.147843091,0.22485578,132.0123341,441.9061889,11.67890813
Vegans,Male,50-59,2.52473741,4.413799281,14370.52892,11.19767437,0.14286734,0.211573633,122.9252706,416.3354424,11.19616437
Vegans,Male,60-69,2.427010726,4.559575999,17095.88936,10.76274797,0.108715469,0.213271625,117.6943713,477.762362,11.45259098
Vegans,Male,70-79,2.587986805,4.499389513,16181.93082,11.4335333,0.164137273,0.217562651,119.2856002,460.1116968,11.54324312
Vegetarians,Female,20-29,4.319955998,6.207026792,15116.31601,17.35317258,0.76712657,0.290159041,242.8314944,545.5731476,20.43036041
Vegetarians,Female,30-39,4.367724164,6.265816777,15473.4263,17.39704402,0.766631298,0.293230105,248.1096318,547.9089722,20.83474316
Vegetarians,Female,40-49,4.386548304,6.317881973,15792.64337,17.35567047,0.766623857,0.292515519,248.8869679,546.7289578,21.15639647
Vegetarians,Female,50-59,4.370471444,6.310075912,16380.31861,17.16368537,0.755226412,0.293825073,246.1568795,553.1083547,21.28799945
Vegetarians,Female,60-69,4.472485088,6.476280588,16815.59108,17.44472615,0.795629509,0.29965655,253.6563114,564.2192593,21.8461478
Vegetarians,Female,70-79,4.473445256,6.632652876,17181.323,17.47861678,0.798718894,0.30559504,256.6978807,565.1838732,21.91167942
Vegetarians,Male,20-29,4.899777121,6.903258501,16770.45792,19.4932348,0.852620862,0.322554695,268.2299584,609.3923081,23.13038269
Vegetarians,Male,30-39,4.807758163,6.787162913,16603.4762,18.98807986,0.81199124,0.316325518,266.1488973,594.3070153,22.86409093
Vegetarians,Male,40-49,4.610379492,6.61047419,16477.66172,18.27581294,0.764687252,0.304605361,251.3519262,576.2406653,21.86619864
Vegetarians,Male,50-59,4.45509531,6.522067628,16333.40932,17.61907144,0.733031131,0.299523288,244.2484288,559.6400014,21.18660753
Vegetarians,Male,60-69,4.444843585,6.628730014,16725.20775,17.54301248,0.738549692,0.305724163,248.6038537,566.8259604,21.32133245
Vegetarians,Male,70-79,4.612451445,6.842652923,17972.88128,18.28381332,0.79467285,0.319632837,259.4213507,602.5715334,22.13381134
